AIRLINE,AIRLINE_NAME,MONTH,MONTH_NAME,total_flights,avg_air_system_delay,avg_security_delay,avg_airline_delay,avg_late_aircraft_delay,avg_weather_delay,total_air_system_delay,total_airline_delay,total_late_aircraft_delay,total_weather_delay,total_security_delay
OO,Skywest Airlines Inc.,11,November,843,3.09,0.0,2.84,4.61,0.65,2602.0,2394.0,3889.0,552.0,0.0
OO,Skywest Airlines Inc.,12,December,813,4.83,0.06,3.1,8.76,1.18,3930.0,2523.0,7120.0,956.0,51.0
UA,United Air Lines Inc.,1,January,666,2.89,0.0,5.35,3.92,0.62,1922.0,3560.0,2608.0,412.0,0.0
UA,United Air Lines Inc.,2,February,642,3.82,0.0,4.8,4.58,0.81,2455.0,3083.0,2942.0,518.0,0.0
UA,United Air Lines Inc.,3,March,749,2.21,0.0,4.0,3.01,0.32,1659.0,2996.0,2252.0,242.0,0.0
UA,United Air Lines Inc.,4,April,733,3.05,0.0,4.5,5.11,0.26,2237.0,3301.0,3743.0,194.0,0.0
UA,United Air Lines Inc.,5,May,739,2.94,0.0,3.51,4.61,0.78,2173.0,2592.0,3404.0,575.0,0.0
UA,United Air Lines Inc.,6,June,773,4.6,0.0,6.16,10.29,0.86,3556.0,4765.0,7958.0,668.0,0.0
UA,United Air Lines Inc.,7,July,740,3.95,0.0,5.76,6.49,0.89,2924.0,4266.0,4801.0,658.0,0.0
UA,United Air Lines Inc.,8,August,774,2.51,0.03,4.34,6.14,0.96,1944.0,3357.0,4756.0,741.0,26.0
UA,United Air Lines Inc.,9,September,680,2.4,0.0,2.54,3.14,0.21,1633.0,1729.0,2138.0,143.0,0.0
UA,United Air Lines Inc.,10,October,806,1.89,0.0,2.1,2.4,0.18,1525.0,1692.0,1933.0,147.0,0.0
UA,United Air Lines Inc.,11,November,723,2.25,0.0,1.51,4.27,0.37,1625.0,1092.0,3087.0,271.0,0.0
UA,United Air Lines Inc.,12,December,711,3.34,0.0,4.4,6.6,0.78,2373.0,3129.0,4694.0,556.0,0.0
US,US Airways Inc.,1,January,545,2.24,0.17,3.26,2.96,0.35,1221.0,1774.0,1614.0,192.0,91.0
US,US Airways Inc.,2,February,486,2.95,0.02,4.24,3.13,0.9,1434.0,2061.0,1523.0,436.0,12.0
US,US Airways Inc.,3,March,609,3.75,0.12,2.53,2.72,0.31,2281.0,1538.0,1659.0,191.0,72.0
US,US Airways Inc.,4,April,538,2.41,0.0,2.94,2.48,0.0,1295.0,1580.0,1334.0,0.0,1.0
US,US Airways Inc.,5,May,597,3.4,0.0,1.86,2.4,0.08,2031.0,1111.0,1433.0,50.0,0.0
US,US Airways Inc.,6,June,636,3.01,0.04,4.28,2.59,0.43,1915.0,2719.0,1646.0,276.0,27.0
VX,Virgin America,1,January,80,3.22,0.0,4.53,1.38,0.82,258.0,362.0,110.0,66.0,0.0
VX,Virgin America,2,February,77,3.78,0.0,5.36,2.38,0.29,291.0,413.0,183.0,22.0,0.0
VX,Virgin America,3,March,80,2.29,0.0,6.46,7.11,0.52,183.0,517.0,569.0,42.0,0.0
VX,Virgin America,4,April,88,4.12,0.0,0.57,4.6,0.55,363.0,50.0,405.0,48.0,0.0
VX,Virgin America,5,May,87,6.15,0.0,1.74,3.84,0.66,535.0,151.0,334.0,57.0,0.0
VX,Virgin America,6,June,100,3.57,0.0,0.69,2.44,1.39,357.0,69.0,244.0,139.0,0.0
VX,Virgin America,7,July,92,7.91,0.0,2.45,2.61,0.18,728.0,225.0,240.0,17.0,0.0
VX,Virgin America,8,August,100,3.14,0.0,2.64,3.59,0.03,314.0,264.0,359.0,3.0,0.0
VX,Virgin America,9,September,90,4.78,0.0,0.88,2.82,0.16,430.0,79.0,254.0,14.0,0.0
VX,Virgin America,10,October,85,2.26,0.0,5.62,2.95,0.53,192.0,478.0,251.0,45.0,0.0
VX,Virgin America,11,November,88,3.1,0.0,2.23,0.76,0.26,273.0,196.0,67.0,23.0,0.0
VX,Virgin America,12,December,96,3.48,0.0,1.77,8.6,0.47,334.0,170.0,826.0,45.0,0.0
WN,Southwest Airlines Co.,1,January,1634,0.97,0.0,2.43,5.45,0.21,1585.0,3969.0,8904.0,340.0,0.0
WN,Southwest Airlines Co.,2,February,1499,1.34,0.0,3.1,4.81,0.45,2006.0,4651.0,7217.0,669.0,0.0
WN,Southwest Airlines Co.,3,March,1791,1.28,0.01,3.12,5.08,0.35,2287.0,5592.0,9107.0,620.0,21.0
WN,Southwest Airlines Co.,4,April,1821,1.45,0.0,2.96,4.86,0.42,2648.0,5385.0,8842.0,769.0,0.0
WN,Southwest Airlines Co.,5,May,1931,1.29,0.04,3.37,6.84,0.65,2489.0,6502.0,13212.0,1246.0,71.0
WN,Southwest Airlines Co.,6,June,1869,1.54,0.06,4.69,7.46,0.68,2876.0,8766.0,13935.0,1269.0,117.0
WN,Southwest Airlines Co.,7,July,1917,1.73,0.01,4.5,8.13,0.25,3313.0,8631.0,15594.0,473.0,25.0
WN,Southwest Airlines Co.,8,August,1774,1.8,0.01,3.65,4.77,0.55,3186.0,6467.0,8465.0,979.0,17.0
WN,Southwest Airlines Co.,9,September,1753,1.14,0.0,1.8,2.34,0.56,1999.0,3149.0,4108.0,988.0,0.0
WN,Southwest Airlines Co.,10,October,1668,0.91,0.0,1.94,3.03,0.3,1519.0,3232.0,5046.0,499.0,0.0
WN,Southwest Airlines Co.,11,November,1790,1.08,0.0,2.55,3.28,0.16,1929.0,4566.0,5865.0,287.0,0.0
WN,Southwest Airlines Co.,12,December,1810,1.3,0.0,3.6,6.35,0.36,2345.0,6513.0,11501.0,660.0,0.0
